22.01.2025 23:41:00 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <2548.464600, 302.039734, 10937.540039>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1581.366089, 272.906647, 12107.847656>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1585.451660, 272.687683, 12096.755859>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1559.808838, 274.037415, 12099.424805>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1602.933228, 271.662811, 12093.698242>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1575.168701, 273.247253, 12104.502930>
24.01.2025 12:09:51 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <11366.576172, 158.260132, 10672.216797>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <8023.285645, 12.814697, 3428.782715>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <8040.870605, 18.746544, 3451.963623>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6534.838867, 333.097748, 6237.997559>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6556.450195, 339.421204, 6246.438477>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6521.331055, 331.782501, 6242.668457>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6581.710449, 321.871063, 6052.744141>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6602.305664, 322.873901, 6074.573242>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6602.787109, 322.851166, 6058.815430>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6597.488770, 322.146271, 6070.727539>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6563.460449, 321.500000, 6036.784180>
24.01.2025 12:13:30 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <11309.854492, 73.336723, 6562.666016>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <11326.343750, 71.556717, 6539.631348>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <11298.569336, 74.086578, 6563.436035>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <11317.144531, 74.017563, 6578.194336>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <8464.026367, 297.996643, 6033.713867>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <8467.363281, 298.023041, 6036.861816>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <8485.282227, 294.996643, 6038.899414>
